Rank,Block_name,Suspiciousness Value(Ochiai)
1,test_lr.cpp_if _100,1
1,test_lr.cpp_run_94,1
1,test_lr.cpp_calculateError_66,1
2,lr.cpp_compute_cost_324,0.707106781186547
2,lr.cpp_if _142,0.707106781186547
2,lr.cpp_set_label_map_534,0.707106781186547
2,lr.cpp_remap_labels_566,0.707106781186547
2,lr.cpp_clear_584,0.707106781186547
2,lr.cpp_batch_gradient_descent_437,0.707106781186547
2,lr.cpp_predict_227,0.707106781186547
2,lr.cpp_train_137,0.707106781186547
2,lr.cpp_create_126,0.707106781186547
2,lr.cpp_isTrained_105,0.707106781186547
2,lr.cpp_get_learnt_thetas_103,0.707106781186547
2,lr.cpp_LogisticRegressionImpl_89,0.707106781186547
2,lr.cpp_LogisticRegressionImpl_88,0.707106781186547
2,lr.cpp_calc_sigmoid_316,0.707106781186547
3,data.cpp_loadCSV_509,0.25
3,data.cpp_loadFromCSV_1030,0.25
3,data.cpp_decodeElem_679,0.25
3,data.cpp_setData_662,0.25
3,data.cpp_getResponses_159,0.25
3,data.cpp_loadCSV_511,0.25
4,data.cpp_getSamples_158,0.242535625036333
5,data.cpp_preprocessCategorical_434,0.218217890235992
6,data.cpp_TrainDataImpl_128,0.185695338177052
6,data.cpp_setData_242,0.185695338177052
6,data.cpp_clear_218,0.185695338177052
6,data.cpp_TrainDataImpl_133,0.185695338177052
7,test_save_load.cpp_TEST_159,0.150755672288882
7,test_save_load.cpp_TEST_154,0.150755672288882
7,test_emknearestkmeans.cpp_TEST_704,0.150755672288882
7,test_emknearestkmeans.cpp_TEST_705,0.150755672288882
7,test_emknearestkmeans.cpp_TEST_706,0.150755672288882
7,test_emknearestkmeans.cpp_TEST_707,0.150755672288882
7,test_emknearestkmeans.cpp_TEST_708,0.150755672288882
7,test_lr.cpp_TEST_227,0.150755672288882
7,test_lr.cpp_TEST_228,0.150755672288882
7,test_mltests.cpp_TEST_128,0.150755672288882
7,test_mltests.cpp_TEST_129,0.150755672288882
7,test_save_load.cpp_TEST_260,0.150755672288882
7,test_mltests.cpp_TEST_131,0.150755672288882
7,test_save_load.cpp_TEST_151,0.150755672288882
7,test_save_load.cpp_TEST_152,0.150755672288882
7,test_save_load.cpp_TEST_153,0.150755672288882
7,test_mltests.cpp_TEST_130,0.150755672288882
7,test_save_load.cpp_TEST_262,0.150755672288882
7,test_save_load.cpp_TEST_157,0.150755672288882
7,test_save_load.cpp_TEST_261,0.150755672288882
7,test_save_load.cpp_TEST_263,0.150755672288882
7,test_save_load.cpp_TEST_264,0.150755672288882
7,test_save_load.cpp_TEST_265,0.150755672288882
7,test_save_load.cpp_TEST_266,0.150755672288882
7,test_svmtrainauto.cpp_TEST_89,0.150755672288882
7,test_save_load.cpp_TEST_158,0.150755672288882
7,test_svmtrainauto.cpp_TEST_168,0.150755672288882
7,test_save_load.cpp_TEST_156,0.150755672288882
7,test_save_load.cpp_TEST_155,0.150755672288882
8,test_emknearestkmeans.cpp_runCase_395,0
8,data.cpp_getNormCatResponses_200,0
8,lr.cpp_read_614,0
